"Date","Price","Open","High","Low","Vol.","Change %"
"11/19/2019","3,120.20","3,127.40","3,127.60","3,113.50","","-0.06%"
"11/18/2019","3,122.00","3,117.90","3,124.20","3,112.10","","0.05%"
"11/15/2019","3,120.50","3,107.90","3,120.50","3,104.60","","0.77%"
"11/14/2019","3,096.60","3,090.80","3,098.20","3,083.30","","0.08%"
"11/13/2019","3,094.00","3,084.20","3,098.10","3,078.80","","0.07%"
"11/12/2019","3,091.80","3,089.30","3,102.60","3,084.70","","0.16%"
"11/11/2019","3,087.00","3,080.30","3,088.30","3,075.80","","-0.20%"
"11/08/2019","3,093.10","3,081.20","3,093.10","3,073.60","","0.26%"
"11/07/2019","3,085.20","3,087.00","3,097.80","3,080.20","","0.27%"
"11/06/2019","3,076.80","3,075.10","3,078.30","3,065.90","","0.07%"
"11/05/2019","3,074.60","3,080.80","3,083.90","3,072.20","","-0.12%"
"11/04/2019","3,078.30","3,079.00","3,085.20","3,074.90","","0.37%"
"11/01/2019","3,066.90","3,050.70","3,066.90","3,050.70","","0.96%"
"10/31/2019","3,037.60","3,046.90","3,046.90","3,023.20","","-0.30%"
"10/30/2019","3,046.80","3,039.70","3,050.10","3,026.00","","0.33%"
"10/29/2019","3,036.90","3,035.40","3,047.90","3,034.80","","-0.08%"
"10/28/2019","3,039.40","3,032.10","3,044.10","3,032.10","","0.56%"
"10/25/2019","3,022.60","3,003.30","3,027.40","3,001.90","","0.41%"
"10/24/2019","3,010.30","3,014.80","3,016.10","3,000.40","","0.19%"
"10/23/2019","3,004.50","2,994.00","3,004.80","2,991.20","","0.28%"
"10/22/2019","2,996.00","3,010.70","3,014.60","2,995.00","","-0.36%"
"10/21/2019","3,006.70","2,996.50","3,007.30","2,995.30","","0.69%"
"10/18/2019","2,986.20","2,996.80","3,000.00","2,976.30","","-0.39%"
"10/17/2019","2,997.90","3,000.80","3,008.30","2,991.80","","0.27%"
"10/16/2019","2,989.70","2,989.70","2,997.50","2,985.20","","-0.20%"
"10/15/2019","2,995.70","2,973.60","3,003.30","2,973.60","","0.99%"
"10/14/2019","2,966.20","2,965.80","2,972.80","2,962.90","","-0.14%"
"10/11/2019","2,970.30","2,963.10","2,993.30","2,963.10","","1.10%"
"10/10/2019","2,938.10","2,918.60","2,948.50","2,917.10","","0.64%"
"10/09/2019","2,919.40","2,911.10","2,929.30","2,907.40","","0.91%"
"10/08/2019","2,893.10","2,920.40","2,925.50","2,892.70","","-1.56%"
"10/07/2019","2,938.80","2,944.20","2,959.80","2,935.70","","-0.45%"
"10/04/2019","2,952.00","2,918.60","2,953.70","2,918.60","","1.42%"
"10/03/2019","2,910.60","2,885.40","2,911.10","2,855.90","","0.80%"
"10/02/2019","2,887.60","2,924.80","2,924.80","2,874.90","","-1.79%"
"10/01/2019","2,940.20","2,983.70","2,992.50","2,938.70","","-1.23%"
"09/30/2019","2,976.70","2,967.10","2,983.80","2,967.10","","0.50%"
"09/27/2019","2,961.80","2,985.50","2,987.30","2,945.50","","-0.53%"
"09/26/2019","2,977.60","2,985.70","2,987.30","2,963.70","","-0.24%"
"09/25/2019","2,984.90","2,968.30","2,989.80","2,952.90","","0.62%"
"09/24/2019","2,966.60","3,002.40","3,008.00","2,957.70","","-0.84%"
"09/23/2019","2,991.80","2,983.50","2,999.20","2,982.20","","-0.01%"
"09/20/2019","2,992.10","3,008.40","3,016.40","2,984.70","","-0.49%"
"09/19/2019","3,006.80","3,010.40","3,022.00","3,003.20","","0.00%"
"09/18/2019","3,006.70","3,001.50","3,007.80","2,978.60","","0.03%"
"09/17/2019","3,005.70","2,995.70","3,006.20","2,993.70","","0.26%"
"09/16/2019","2,998.00","2,996.40","3,002.20","2,990.70","","-0.31%"
"09/13/2019","3,007.40","3,012.20","3,017.30","3,002.90","","-0.07%"
"09/12/2019","3,009.60","3,009.10","3,020.70","3,000.90","","0.29%"
"09/11/2019","3,000.90","2,981.40","3,000.90","2,975.30","","0.72%"
"09/10/2019","2,979.40","2,971.00","2,979.40","2,957.00","","0.03%"
"09/09/2019","2,978.40","2,988.40","2,989.40","2,969.40","","-0.01%"
"09/06/2019","2,978.70","2,980.30","2,985.00","2,972.50","","0.09%"
"09/05/2019","2,976.00","2,960.60","2,985.90","2,960.60","","1.30%"
"09/04/2019","2,937.80","2,924.70","2,938.80","2,921.90","","1.08%"
"09/03/2019","2,906.30","2,909.00","2,914.40","2,891.80","","-0.69%"
"08/30/2019","2,926.50","2,937.10","2,940.40","2,913.30","","0.06%"
"08/29/2019","2,924.60","2,910.40","2,930.50","2,905.70","","1.27%"
"08/28/2019","2,887.90","2,861.30","2,890.00","2,853.10","","0.65%"
"08/27/2019","2,869.20","2,893.10","2,898.80","2,860.60","","-0.32%"
"08/26/2019","2,878.40","2,866.70","2,879.30","2,856.00","","1.10%"
"08/23/2019","2,847.10","2,911.10","2,927.00","2,835.00","","-2.59%"
"08/22/2019","2,922.90","2,930.90","2,939.10","2,904.50","","-0.05%"
"08/21/2019","2,924.40","2,922.00","2,928.70","2,917.90","","0.82%"
"08/20/2019","2,900.50","2,919.00","2,923.60","2,899.60","","-0.79%"
"08/19/2019","2,923.70","2,913.50","2,931.00","2,913.50","","1.21%"
"08/16/2019","2,888.70","2,864.70","2,893.60","2,864.70","","1.44%"
"08/15/2019","2,847.60","2,846.20","2,856.70","2,825.50","","0.25%"
"08/14/2019","2,840.60","2,894.20","2,894.20","2,839.60","","-2.93%"
"08/13/2019","2,926.30","2,880.70","2,943.30","2,877.10","","1.47%"
"08/12/2019","2,883.80","2,907.10","2,907.60","2,873.10","","-1.20%"
"08/09/2019","2,918.70","2,930.50","2,935.80","2,900.20","","-0.66%"
